name,genre,gender,team_type,appearance_fee,billions_club_status,2billions_club_status,5billions_club_status,10billions_club_status,company_name,insta_followers,award_history,youtube_subscriber_count,youtube_views,recent_mv_upload_count,recent_mv_avg_view,grade
기현(몬스타엑스),"국내드라마, 발라드, 록/메탈",남,솔로,72500000,0,0,0,0,스타쉽엔터테인먼트,1600000,0,0,0,0,0,5
임슬옹,"발라드, 국내드라마, R&B/Soul",남,솔로,33500000,0,0,0,0,아이에이치큐,556000,3,28200,13219421,4,57852,4
아이브(IVE),"댄스, R&B/Soul, 발라드",여 ,그룹,200000000,1,0,0,0,스타쉽 엔터테인먼트,6280000,58,4460000,3377382731,11,907932,6
정승환,"발라드, 국내드라마, 댄스",남 ,솔로,18500000,1,0,0,0,안테나,122000,2,55600,266408951,5,4610,2
Kei(케이),"발라드, 국내드라마, 댄스",여 ,솔로,25000000,0,0,0,0,팝뮤직,140000,1,0,0,0,0,3
달수빈,"발라드, 일렉트로니카, 댄스",여,솔로,6500000,0,0,0,0,A2Z엔터테인먼트,2481,0,36900,6068506,0,35910,1
싸이커스(xikers),댄스,남 ,그룹,72500000,0,0,0,0,KQ엔터테인먼트,1040000,4,658000,85397379,15,37503,5
카키(Khakii),랩/힙합,남,솔로,6500000,0,0,0,0,wavy,82000,0,0,0,0,0,1
나비 ,"발라드, R&B/Soul, 국내드라마",여,솔로,15000000,0,0,0,0,플랜비엔터테인먼트,84000,0,0,0,0,0,2
린,"발라드, R&B/Soul, 국내드라마",여,솔로,17500000,1,0,0,0,(주)325이엔씨,119000,6,117000,179759636,0,1923456,2
라임라잇,댄스,여,그룹,15000000,0,0,0,0,143엔터테인먼트,102,0,184000,74668839,18,696101,2
샘김,"발라드, 국내드라마, R&B/Soul",남,솔로,16500000,0,0,0,0,HERBIGHARO,288000,1,334000,183755893,0,79759,2
자이언티,"R&B/Soul, 랩/힙합, 댄스",남,솔로,30000000,1,0,0,0,STANDARD FRAINDS,2460000,8,60200,198239470,0,66333,3
비오(BE`O),"랩/힙합, R&B/Soul, 댄스",남,솔로,26000000,0,0,0,0,BigPlanetMade,405000,6,73600,159100828,0,29354,3
이수,"발라드, 국내드라마, 국내영화",남,솔로,25000000,0,0,0,0,(주)325이엔씨,7644,12,71300,57905366,0,47613,3
TWS(투어스),"댄스, 국내드라마, 발라드",남,그룹,72500000,0,0,0,0,플레디스,2190000,19,1220000,457703666,12,238774,5
볼빨간 사춘기,"인디음악, 포크/블루스, 록/메탈",여,솔로,40000000,1,1,0,0,쇼파르엔터테인먼트,259000,18,567000,1025333795,0,429630,4
로켓펀치,"댄스, 발라드, R&B/Soul",여,그룹,25000000,0,0,0,0,울림엔터테인먼트,316000,3,203000,51666225,0,66835,3
탑현,"발라드, 인디음악, 록/메탈",남 ,솔로,10000000,0,0,0,0,레이벡스,93000,0,346000,312889387,2,483463,1
수퍼비,"랩/힙합, 인디음악, 국내드라마",남,솔로,15000000,0,0,0,0,주식회사 영앤리치레코즈,214000,3,0,0,0,0,2
멜로망스,"발라드, 국내드라마, 인디음악",남,그룹,57500000,1,0,0,0,ABYSS COMPANY,132000,10,87800,541580585,0,34481,4
